city,state_abbrev,month,month_num,avg_rainfall_mm,source_url
Sydney,NSW,March,3,88,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,April,4,119,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,May,5,107,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,June,6,100,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,July,7,73,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,August,8,74,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,September,9,62,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,October,10,64,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,November,11,85,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,December,12,74,https://www.bom.gov.au/climate/australia/cities/
