city,state_abbrev,month,month_num,avg_max_temp_c,running_temp_category,source_url
Perth,WA,January,1,31.2,Hot,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,February,2,31.5,Hot,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,March,3,29.6,Hot,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,April,4,26.0,Warm,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,May,5,22.3,Warm,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,June,6,19.5,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,July,7,18.5,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,August,8,19.1,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,September,9,20.5,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,October,10,23.4,Warm,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,November,11,26.7,Warm,https://www.bom.gov.au/climate/australia/cities/
Perth,WA,December,12,29.5,Hot,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,January,1,27.0,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,February,2,26.7,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,March,3,25.3,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,April,4,23.0,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,May,5,20.3,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,June,6,17.8,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,July,7,17.1,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,August,8,18.7,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,September,9,21.1,Comfortable,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,October,10,23.0,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,November,11,24.1,Warm,https://www.bom.gov.au/climate/australia/cities/
Sydney,NSW,December,12,26.0,Warm,https://www.bom.gov.au/climate/australia/cities/
