city,state_abbrev,month,month_num,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,running_temp_category,source_period,source_url
Canberra,ACT,November,11,23.3,9.5,69,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Canberra,ACT,December,12,26.2,11.8,61,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,January,1,31.8,25.0,466,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,February,2,31.5,24.9,373,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,March,3,32.1,24.7,335,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,April,4,32.9,24.3,108,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,May,5,32.3,22.5,25,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,June,6,30.8,20.1,2,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,July,7,30.8,19.4,1,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,August,8,31.6,20.4,6,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,September,9,32.8,23.2,17,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,October,10,33.5,25.0,65,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,November,11,33.5,25.6,137,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Darwin,NT,December,12,32.7,25.6,276,Hot,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,January,1,22.2,12.6,44,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,February,2,22.1,12.6,36,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
