event_name,event_short_name,event_slug,event_location,state,state_abbrev,latitude,longitude,event_id
Narooma Wetlands parkrun,Narooma Wetlands,naroomawetlands,Narooma Wetlands,South Australia,SA,-35.12956,139.293059,3285
Nuriootpa parkrun,Nuriootpa,nuriootpa,"Coulthard Reserve, Nuriootpa",South Australia,SA,-34.466685,139.006952,1722
Oaklands Estate Reserve parkrun,Oaklands Estate Reserve,oaklandsestatereserve,Oaklands Estate Reserve,South Australia,SA,-34.999482,138.548072,2982
Pakapakanthi parkrun,Pakapakanthi,pakapakanthi,Pakapakanthi/Victoria Park,South Australia,SA,-34.928906,138.617578,2061
Parkindula Reserve parkrun,Parkindula Reserve,parkindulareserve,Parkindula Reserve,South Australia,SA,-35.090709,138.867671,3250
Patawalonga River parkrun,Patawalonga River,patawalongariver,Anderson Avenue,South Australia,SA,-34.963603,138.516116,2868
Port Augusta parkrun,Port Augusta,portaugusta,Eastside Foreshore (underneath the Joy Baluch),South Australia,SA,-32.4874,137.764721,986
Port Broughton parkrun,Port Broughton,portbroughton,Port Broughton Foreshore,South Australia,SA,-33.598731,137.929613,1820
Port Lincoln parkrun,Port Lincoln,portlincoln,Port Lincoln,South Australia,SA,-34.720803,135.860614,1728
Renmark parkrun,Renmark,renmark,Renmark Riverfront,South Australia,SA,-34.17425,140.751235,1497
Reynella East parkrun,Reynella East,reynellaeast,The Wetlands,South Australia,SA,-35.088747,138.558626,1761
Seacliff Esplanade parkrun,Seacliff Esplanade,seacliffesplanade,248 Esplanade,South Australia,SA,-35.035682,138.516667,2083
Shiraz Trail parkrun,Shiraz Trail,shiraztrail,The Shiraz Trail,South Australia,SA,-35.217671,138.547611,2322
South Para Reservoir parkrun,South Para Reservoir,southparareservoir,South Para Reservoir,South Australia,SA,-34.683829,138.877987,2845
Stebonheath parkrun,Stebonheath,stebonheath,Stebonheath Park,South Australia,SA,-34.676285,138.66393,2094
Strathalbyn parkrun,Strathalbyn,strathalbyn,Rotary Park,South Australia,SA,-35.258681,138.89303,1496
The Avenues parkrun,The Avenues,theavenues,The Avenues,South Australia,SA,-35.209252,138.709337,2852
Torrens parkrun,Torrens,torrens,Torrens Lake Weir,South Australia,SA,-34.917551,138.587444,447
Victor Harbor parkrun,Victor Harbor,victorharbor,Victor Harbor,South Australia,SA,-35.565657,138.611096,802
Waikerie Wetlands parkrun,Waikerie Wetlands,waikeriewetlands,Waikerie Wetlands,South Australia,SA,-34.174394,139.980451,3606
West Beach parkrun,West Beach,westbeach,Harold and Cynthia reserve,South Australia,SA,-34.939218,138.499643,1473
Whyalla Foreshore parkrun,Whyalla Foreshore,whyallaforeshore,Whyalla Foreshore,South Australia,SA,-33.040603,137.585902,3449
Yeldulknie Weir Trail parkrun,Yeldulknie Weir Trail,yeldulknieweirtrail,Yeldulknie Weir Trail,South Australia,SA,-33.70206,136.50305,2316
Bellerive parkrun,Bellerive,bellerive,Bellerive Beach Park,Tasmania,TAS,-42.878181,147.37175,1887
Bells Parade parkrun,Bells Parade,bellsparade,Bells Parade,Tasmania,TAS,-41.228831,146.401326,3085
Burnie parkrun,Burnie,burnie,Burnie Foreshore,Tasmania,TAS,-41.049194,145.905,1944
Devonport parkrun,Devonport,devonport,Mersey Bluff,Tasmania,TAS,-41.162847,146.356321,546
Geeveston parkrun,Geeveston,geeveston,"Heritage Park,",Tasmania,TAS,-43.163256,146.925685,2022
George Town parkrun,George Town,georgetown,Kanamaluka trail,Tasmania,TAS,-41.109186,146.821208,1660
Hoblers Bridge Reserve parkrun,Hoblers Bridge Reserve,hoblersbridgereserve,Hoblers Bridge Reserve,Tasmania,TAS,-41.436491,147.170722,3630
Inveresk Precinct parkrun,Inveresk Precinct,invereskprecinct,"Inveresk Precinct, Launceston, Tasmania",Tasmania,TAS,-41.425512,147.14088,452
Kate Reed parkrun,Kate Reed,katereed,Kate Reed Recreation Area,Tasmania,TAS,-41.47567,147.138035,2686
Kingston Park parkrun,Kingston Park,kingstonpark,Kingston Park,Tasmania,TAS,-42.972838,147.309649,2475
Montrose Foreshore parkrun,Montrose Foreshore,montroseforeshore,Montrose Foreshore Community Park,Tasmania,TAS,-42.8227,147.269908,2078
Our Park parkrun,Our Park,ourpark,Our Park,Tasmania,TAS,-42.559297,147.876873,2685
O’Connors Beach parkrun,O’Connors Beach,oconnorsbeach,O’Connors Beach,Tasmania,TAS,-41.338567,148.274083,3238
Pembroke parkrun,Pembroke,pembroke,Pembroke Park,Tasmania,TAS,-42.780686,147.558066,2814
Port Sorell parkrun,Port Sorell,portsorell,Port Sorell Surf Lifesaving Club,Tasmania,TAS,-41.151526,146.541641,1972
Queens Domain parkrun,Queens Domain,queensdomain,Queens Domain,Tasmania,TAS,-42.863822,147.31775,1816
Railton parkrun,Railton,railton,Lions Park,Tasmania,TAS,-41.347581,146.424482,1755
Risdon Brook parkrun,Risdon Brook,risdonbrook,Risdon Brook Park,Tasmania,TAS,-42.804471,147.332352,446
Tynwald Park parkrun,Tynwald Park,tynwaldpark,Tynwald Park,Tasmania,TAS,-42.776331,147.071624,3121
Westbury Town Common parkrun,Westbury Town Common,westburytowncommon,Westbury Town Common,Tasmania,TAS,-41.528688,146.825856,3092
Whitemark Wharf parkrun,Whitemark Wharf,whitemarkwharf,Whitemark Wharf,Tasmania,TAS,-40.121659,148.013824,2355
Windsor Precinct parkrun,Windsor Precinct,windsorprecinct,Windsor Precinct,Tasmania,TAS,-41.403535,147.095454,1752
Wynyard Foreshore parkrun,Wynyard Foreshore,wynyardforeshore,East Wynyard Foreshore,Tasmania,TAS,-40.98771,145.738245,538
Zeehan Golf Club parkrun,Zeehan Golf Club,zeehangolfclub,Zeehan Golf Club,Tasmania,TAS,-41.889891,145.322678,3428
Aintree Reserve parkrun,Aintree Reserve,aintreereserve,Aintree Reserve,Victoria,VIC,-37.712795,144.673619,3588
"Albert parkrun, Melbourne",Albert Melbourne,albertmelbourne,"Albert Park, Melbourne, Australia",Victoria,VIC,-37.843521,144.96312,52
Altona Beach parkrun,Altona Beach,altonabeach,Apex Park,Victoria,VIC,-37.875236,144.811911,1237
Ararat parkrun,Ararat,ararat,Alexandra Gardens,Victoria,VIC,-37.279712,142.928756,1649
Aurora parkrun,Aurora,aurora,Aurora Town Centre Park,Victoria,VIC,-37.622365,145.00465,2541
Bairnsdale parkrun,Bairnsdale,bairnsdale,Bairnsdale,Victoria,VIC,-37.823487,147.632774,1416
Ball Park parkrun,Ball Park,ballpark,Ball Park,Victoria,VIC,-36.000667,146.393936,3426
Balyang Sanctuary parkrun,Balyang Sanctuary,balyangsanctuary,Balyang Sanctuary,Victoria,VIC,-38.166457,144.331179,395
Bannockburn Bush parkrun,Bannockburn Bush,bannockburnbush,Bannockburn,Victoria,VIC,-38.063066,144.142907,1740
Beaufort Lake parkrun,Beaufort Lake,beaufortlake,Beaufort Lake,Victoria,VIC,-37.439405,143.382552,3112
Belvedere parkrun,Belvedere,belvedere,Belvedere,Victoria,VIC,-38.105426,145.155851,3693
Benalla Botanical Gardens parkrun,Benalla Botanical Gardens,benallabotanicalgardens,Benalla Botanical Gardens,Victoria,VIC,-36.553856,145.977439,2540
Bendigo Botanic Gardens parkrun,Bendigo Botanic Gardens,bendigobotanicgardens,Bendigo Botanic Gardens,Victoria,VIC,-36.725618,144.305636,2653
Berwick Springs parkrun,Berwick Springs,berwicksprings,Berwick Springs Promenade,Victoria,VIC,-38.062069,145.322932,617
Berwick Waters parkrun,Berwick Waters,berwickwaters,Berwick Waters Playground,Victoria,VIC,-38.078218,145.342965,2486
Birdsland Reserve parkrun,Birdsland Reserve,birdslandreserve,Birdsland Reserve,Victoria,VIC,-37.923408,145.335724,2300
Breen Avenue Walking Track parkrun,Breen Avenue Walking Track,breenavenuewalkingtrack,Breen Avenue Walking Track,Victoria,VIC,-36.313671,145.053225,3855
Bright parkrun,Bright,bright,Mystic Plantation,Victoria,VIC,-36.743803,146.978,1821
Brimbank parkrun,Brimbank,brimbank,Brimbank Park,Victoria,VIC,-37.727547,144.834123,1033
Calembeen parkrun,Calembeen,calembeen,Calembeen Park,Victoria,VIC,-37.419365,143.889512,3183
Campaspe parkrun,Campaspe,campaspe,Campaspe Park,Victoria,VIC,-37.354683,144.531445,2527
Cascades on Clyde Wetlands parkrun,Cascades on Clyde Wetlands,cascadesonclydewetlands,Cascades on Clyde Wetlands,Victoria,VIC,-38.100383,145.325835,2818
Castlemaine parkrun,Castlemaine,castlemaine,Castlemaine Botanical Gardens,Victoria,VIC,-37.050794,144.217649,1246
Chelsea Bicentennial parkrun,Chelsea Bicentennial,chelseabicentennial,Chelsea Bicentennial Park,Victoria,VIC,-38.049247,145.12656,1518
Churchill parkrun,Churchill,churchill,Eel Hole Creek,Victoria,VIC,-38.312871,146.422465,1400
Cobram parkrun,Cobram,cobram,Thompsons Beach,Victoria,VIC,-35.913461,145.668554,1468
Coburg parkrun,Coburg,coburg,Coburg Lake Reserve,Victoria,VIC,-37.733811,144.968861,1062
Cohuna parkrun,Cohuna,cohuna,Cohuna,Victoria,VIC,-35.809232,144.223054,1596
Cruickshank Park parkrun,Cruickshank Park,cruickshankpark,Cruickshank Park,Victoria,VIC,-37.817195,144.876886,3840
Cyril Curtain Reserve parkrun,Cyril Curtain Reserve,cyrilcurtainreserve,Cyril Curtain Reserve,Victoria,VIC,-37.872231,144.902847,2657
Dandenong parkrun,Dandenong,dandenong,Dandenong Park,Victoria,VIC,-37.991139,145.215644,2631
Darebin parkrun,Darebin,darebin,C T Barling Reserve,Victoria,VIC,-37.721239,145.034293,1636
De Soza parkrun,De Soza,desoza,De Soza,Victoria,VIC,-37.649085,143.883626,3789
Diamond Creek parkrun,Diamond Creek,diamondcreek,Marngrook Oval,Victoria,VIC,-37.673576,145.153249,593
Dixon Field parkrun,Dixon Field,dixonfield,Dixon Field,Victoria,VIC,-37.483912,144.584456,3263
Dorset Recreation Reserve parkrun,Dorset Recreation Reserve,dorsetrecreationreserve,Dorset Recreation Reserve,Victoria,VIC,-37.805244,145.29128,2864
Eastern Gardens parkrun,Eastern Gardens,easterngardens,Eastern Park,Victoria,VIC,-38.147322,144.378578,2054
Echuca Moama parkrun,Echuca Moama,echucamoama,Lions Park,Victoria,VIC,-36.139104,144.739213,1663
Eildon Pondage parkrun,Eildon Pondage,eildonpondage,Eildon Pondage,Victoria,VIC,-37.242627,145.906145,3634
Emerald Lake parkrun,Emerald Lake,emeraldlake,Emerald Lake,Victoria,VIC,-37.930268,145.458234,3574
Euroa parkrun,Euroa,euroa,Sevens Creek Park,Victoria,VIC,-36.752767,145.573825,1973
Frank Keenan Reserve parkrun,Frank Keenan Reserve,frankkeenanreserve,Frank Keenan Reserve,Victoria,VIC,-36.002211,146.02204,3070
Frankston Nature Conservation Reserve parkrun,Frankston Nature Conservation Reserve,frankstonnatureconservationres,Frankston Nature Conservation Reserve,Victoria,VIC,-38.17212,145.12985,2949
Frog Hollow parkrun,Frog Hollow,froghollow,David Collins Drive,Victoria,VIC,-37.991559,145.273622,902
Gardiners Creek parkrun,Gardiners Creek,gardinerscreek,Gardiners Creek Reserve,Victoria,VIC,-37.845344,145.114787,1817
Goldfields Reservoir parkrun,Goldfields Reservoir,goldfieldsreservoir,Goldfields Reservoir,Victoria,VIC,-37.065018,143.731855,2531
"Goulburn River Trail parkrun, Seymour","Goulburn River Trail, Seymour",goulburnrivertrailseymour,"Goulburn River Trail, Seymour",Victoria,VIC,-37.018279,145.124768,3375
"Grand Ridge Rail Trail parkrun, Mirboo North",Grand Ridge Rail Trail,grandridgerailtrail,Grand Ridge Rail Trail,Victoria,VIC,-38.400561,146.16502,2317
"Great Southern Rail Trail parkrun, Korumburra","Great Southern Rail Trail, Korumburra",greatsouthernrailtrailkorumburra,"Great Southern Rail Trail, Korumburra",Victoria,VIC,-38.432179,145.825156,3494
Hamilton parkrun,Hamilton,hamilton,Lake Hamilton,Victoria,VIC,-37.737592,142.040024,835
Hastings Foreshore parkrun,Hastings Foreshore,hastingsforeshore,Hastings Foreshore,Victoria,VIC,-38.307311,145.196651,565
Highlands parkrun,Highlands,highlands,Stocklandâ€™s Highlands community,Victoria,VIC,-37.59106,144.903713,545
Inverloch parkrun,Inverloch,inverloch,Rotary Centenary Park,Victoria,VIC,-38.639515,145.719625,919
Jells parkrun,Jells,jells,Jells Park,Victoria,VIC,-37.897912,145.193976,1153
KM Reedy Reserve parkrun,KM Reedy Reserve,kmreedyreserve,KM Reedy Reserve,Victoria,VIC,-38.021647,145.251726,2207
Karkarook parkrun,Karkarook,karkarook,Karkarook Park,Victoria,VIC,-37.940079,145.086858,1541
Kennington Reservoir parkrun,Kennington Reservoir,kenningtonreservoir,Kennington Reservoir,Victoria,VIC,-36.772141,144.312232,778
Kerang Regional parkrun,Kerang Regional,kerangregional,Kerang Regional Park,Victoria,VIC,-35.730934,143.908707,2605
Kilmore Racecourse Walking Track parkrun,Kilmore Racecourse Walking Track,kilmoreracecoursewalkingtrack,Kilmore Racecourse Walking Track,Victoria,VIC,-37.288433,144.960419,3277
Kirkdale Reserve parkrun,Kirkdale Reserve,kirkdalereserve,Kirkdale Reserve,Victoria,VIC,-37.770512,144.983855,3042
Koonwarra parkrun,Koonwarra,koonwarra,The Great Southern Rail Trail,Victoria,VIC,-38.547585,145.947772,1772
Lake Boga Foreshore parkrun,Lake Boga Foreshore,lakebogaforeshore,Lake Boga Foreshore,Victoria,VIC,-35.45108,143.628251,2728
Lake Colac parkrun,Lake Colac,lakecolac,Lake Colac,Victoria,VIC,-38.332222,143.589186,3738
Lake Fyans Walking Track parkrun,Lake Fyans Walking Track,lakefyanswalkingtrack,Lake Fyans Walking Track,Victoria,VIC,-37.145642,142.616196,3748
Lake Wallace parkrun,Lake Wallace,lakewallace,Lake Wallace,Victoria,VIC,-37.033988,141.295153,3174
Lakes Entrance parkrun,Lakes Entrance,lakesentrance,"Lakes Entrance Rotunda, Memorial Park",Victoria,VIC,-37.879944,147.994104,666
Lalor parkrun,Lalor,lalor,Whittlesea Public Gardens,Victoria,VIC,-37.668084,144.985422,1440
Lancefield parkrun,Lancefield,lancefield,Lancefield Park,Victoria,VIC,-37.279321,144.724258,1185
Lewis Park Reserve parkrun,Lewis Park Reserve,lewisparkreserve,Lewis Park Reserve,Victoria,VIC,-37.86738,145.248705,2987
Lillydale Lake parkrun,Lillydale Lake,lillydalelake,Lilydale Lake,Victoria,VIC,-37.766218,145.357071,699
Louis Hamon Park parkrun,Louis Hamon Park,louishamonpark,Louis Hamon Park,Victoria,VIC,-36.094049,145.442706,2809
Mansfield Botanic parkrun,Mansfield Botanic,mansfieldbotanic,Mansfield Botanic Park,Victoria,VIC,-37.052419,146.093889,1148
Maribyrnong parkrun,Maribyrnong,maribyrnong,Maribyrnong,Victoria,VIC,-37.770632,144.897858,810
Maroondah Dam parkrun,Maroondah Dam,maroondahdam,Maroondah Dam,Victoria,VIC,-37.642875,145.552323,3278
Marriott Waters parkrun,Marriott Waters,marriottwaters,Marriott Waters Reserve,Victoria,VIC,-38.072157,145.249088,1766
Mernda parkrun,Mernda,mernda,Mernda Adventure Park,Victoria,VIC,-37.593706,145.100493,1704
Mount Beauty parkrun,Mount Beauty,mountbeauty,Mount Beauty,Victoria,VIC,-36.736278,147.174015,1675
Mullum Mullum parkrun,Mullum Mullum,mullummullum,"Schwerkolt Cottage, Mitcham",Victoria,VIC,-37.811673,145.21251,1615
Nagambie Lake parkrun,Nagambie Lake,nagambielake,Nagambie Lake,Victoria,VIC,-36.786149,145.148185,3470
Nathalia Showgrounds parkrun,Nathalia Showgrounds,nathaliashowgrounds,Nathalia Showgrounds and Recreation Reserve,Victoria,VIC,-36.053066,145.211172,2870
Newborough parkrun,Newborough,newborough,Moe Botanic Garden,Victoria,VIC,-38.178663,146.270714,1633
Newport Lakes parkrun,Newport Lakes,newportlakes,Newport Lakes Reserve,Victoria,VIC,-37.840109,144.870716,1736
Nhill parkrun,Nhill,nhill,Nhill Swamp and Wildlife Reserve,Victoria,VIC,-36.338609,141.645653,1823
Nolen’s Park parkrun,Nolen’s Park,nolenspark,Nolen’s Park,Victoria,VIC,-36.117426,143.727281,3122
Ocean Grove parkrun,Ocean Grove,oceangrove,Barwon Estuary Picnic Area,Victoria,VIC,-38.267313,144.512783,598
Ovens River Trail parkrun,Ovens River Trail,ovensrivertrail,Ovens River Trail,Victoria,VIC,-36.555094,146.711688,2838
Pakenham parkrun,Pakenham,pakenham,Pakenham,Victoria,VIC,-38.06462,145.463839,847
Parkville parkrun,Parkville,parkville,Princes Park,Victoria,VIC,-37.784837,144.961755,1006
Peppertree parkrun,Peppertree,peppertree,Peppertree Park,Victoria,VIC,-37.68168,144.432973,2655
Phillip Island parkrun,Phillip Island,phillipisland,Churchill Island,Victoria,VIC,-38.498822,145.340674,1232
Point Cook parkrun,Point Cook,pointcook,Arndell Park Community Centre,Victoria,VIC,-37.862086,144.72952,619
Port Fairy parkrun,Port Fairy,portfairy,Russell Clark Reserve,Victoria,VIC,-38.389932,142.229977,1606
Portarlington parkrun,Portarlington,portarlington,The Esplanade,Victoria,VIC,-38.113934,144.654211,1746
Portland parkrun,Portland,portland,Fawthrop Lagoon,Victoria,VIC,-38.354785,141.60446,1444
Prince of Wales parkrun,Prince of Wales,princeofwales,Prince of Wales Park,Victoria,VIC,-37.548659,143.816194,3137
Pyramid Hill Golf Trail parkrun,Pyramid Hill Golf Trail,pyramidhillgolftrail,Pyramid Hill Golf Trail,Victoria,VIC,-36.050871,144.137393,3640
Red Hill Rail Trail parkrun,Red Hill Rail Trail,redhillrailtrail,Red Hill Rail Trail,Victoria,VIC,-38.380498,145.026784,3725
Rokeby Crossover Rail Trail parkrun,Rokeby Crossover Rail Trail,rokebycrossoverrailtrail,Rokeby Crossover Rail Trail,Victoria,VIC,-38.068113,145.931515,3838
Rosebud parkrun,Rosebud,rosebud,Rosebud Parade,Victoria,VIC,-38.354221,144.905291,1850
Sale parkrun,Sale,sale,Sale Botanic Gardens,Victoria,VIC,-38.114103,147.078273,753
Shepparton parkrun,Shepparton,shepparton,Victoria Park Lake,Victoria,VIC,-36.390858,145.396146,492
Studley parkrun,Studley,studley,Studley Park Boathouse,Victoria,VIC,-37.80083,145.008858,1419
Sunbury parkrun,Sunbury,sunbury,Apex Park,Victoria,VIC,-37.580542,144.739936,1757
The Phar Lap Track parkrun,The Phar Lap Track,thepharlaptrack,Phar Lap Track,Victoria,VIC,-37.993515,145.128673,3719
Timboon parkrun,Timboon,timboon,Timboon,Victoria,VIC,-38.483074,142.977527,1673
Toolern Creek parkrun,Toolern Creek,toolerncreek,Toolern Creek Park,Victoria,VIC,-37.714776,144.583229,881
Torquay parkrun,Torquay,torquay,Fishermans Beach,Victoria,VIC,-38.327281,144.326903,665
Traralgon parkrun,Traralgon,traralgon,Agnes Brereton Park,Victoria,VIC,-38.189632,146.53648,1063
Trebeck Reserve parkrun,Trebeck Reserve,trebeckreserve,Trebeck Reserve,Victoria,VIC,-38.233939,143.988093,3424
Victory Road Reserve parkrun,Victory Road Reserve,victoryroadreserve,Victory Road Reserve,Victoria,VIC,-37.948161,145.108231,3834
Wallaby Track parkrun,Wallaby Track,wallabytrack,Wallaby Track,Victoria,VIC,-37.552061,143.898319,2586
Wangaratta parkrun,Wangaratta,wangaratta,Apex Park,Victoria,VIC,-36.351774,146.329944,873
Warragul parkrun,Warragul,warragul,Brooker Park,Victoria,VIC,-38.151043,145.932929,1077
Warrandyte River Reserve parkrun,Warrandyte River Reserve,warrandyteriverreserve,Warrandyte River Reserve,Victoria,VIC,-37.73646,145.219969,3015
Warringal Parklands parkrun,Warringal Parklands,warringalparklands,Warringal Parklands,Victoria,VIC,-37.755246,145.074478,2628
Warrnambool parkrun,Warrnambool,warrnambool,Warrnambool,Victoria,VIC,-38.392862,142.47937,497
Westerfolds parkrun,Westerfolds,westerfolds,Westerfolds Park,Victoria,VIC,-37.746092,145.133986,643
Willow parkrun,Willow,willow,Willow Park,Victoria,VIC,-36.136018,146.874752,1994
Wilson Botanic parkrun,Wilson Botanic,wilsonbotanic,Wilson Botanic Park,Victoria,VIC,-38.026521,145.339808,1519
"Wimmera River parkrun, Horsham","Wimmera River, Horsham",wimmerariverhorsham,Sawyer Park,Victoria,VIC,-36.722724,142.202555,2074
Woodlands Historic Park parkrun,Woodlands Historic Park,woodlandshistoricpark,Woodlands Historic Park,Victoria,VIC,-37.640182,144.843618,3271
Wyndham Vale parkrun,Wyndham Vale,wyndhamvale,Presidents Park,Victoria,VIC,-37.881655,144.634532,1367
Yackandandah Rail Trail parkrun,Yackandandah Rail Trail,yackandandahrailtrail,Yackandandah Rail Trail,Victoria,VIC,-36.316082,146.838391,3241
You Yangs parkrun,You Yangs,youyangs,You Yangs Regional Park,Victoria,VIC,-37.953582,144.40047,1513
Applecross parkrun,Applecross,applecross,Jeff Joseph Reserve,Western Australia,WA,-32.006932,115.834885,1666
Aveley parkrun,Aveley,aveley,Central Park,Western Australia,WA,-31.789954,115.988052,508
Baxter parkrun,Baxter,baxter,Baxter Park,Western Australia,WA,-24.891447,113.654841,3151
Bayview Road parkrun,Bayview Road,bayviewroad,Bayview Road,Western Australia,WA,-20.729535,116.806181,2862
Bibra Lake parkrun,Bibra Lake,bibralake,Bibra Lake Reserve,Western Australia,WA,-32.093955,115.820636,937
Black Swan Lake parkrun,Black Swan Lake,blackswanlake,Black Swan Lake,Western Australia,WA,-32.47418,115.774806,3713
Bunbury parkrun,Bunbury,bunbury,Big Swamp Wildlife Park,Western Australia,WA,-33.342966,115.633228,503
Burswood Peninsula parkrun,Burswood Peninsula,burswoodpeninsula,Burswood Peninsular,Western Australia,WA,-31.95306,115.887561,1956
Calleya parkrun,Calleya,calleya,Treeby,Western Australia,WA,-32.126604,115.876176,1644
Canning River parkrun,Canning River,canningriver,Canning River Regional Park,Western Australia,WA,-32.020912,115.92266,489
Carine Glades parkrun,Carine Glades,carineglades,Carine Regional Open Space,Western Australia,WA,-31.853621,115.789061,823
"Centennial Park parkrun, Dunsborough","Centennial Park, Dunsborough",centennialparkdunsborough,"Centennial Park, Dunsborough",Western Australia,WA,-33.615733,115.112646,3405
Champion Lakes parkrun,Champion Lakes,championlakes,Champion Lakes,Western Australia,WA,-32.106314,115.999535,1340
Claisebrook Cove parkrun,Claisebrook Cove,claisebrookcove,Claisebrook Cove,Western Australia,WA,-31.950868,115.881884,397
Collie River Trail parkrun,Collie River Trail,collierivertrail,Collie River Trail,Western Australia,WA,-33.357664,116.156872,2426
Cottesloe parkrun,Cottesloe,cottesloe,Marine Parade,Western Australia,WA,-32.006479,115.75182,807
Dawesville parkrun,Dawesville,dawesville,Dawesville Foreshore Reserve,Western Australia,WA,-32.625918,115.640914,949
Edinburgh Oval parkrun,Edinburgh Oval,edinburghoval,Edinburgh Oval Park,Western Australia,WA,-32.003668,115.891775,2621
Esperance Foreshore parkrun,Esperance Foreshore,esperanceforeshore,Esperance Foreshore,Western Australia,WA,-33.863295,121.893784,3451
Galup Reserve parkrun,Galup Reserve,galupreserve,Galup Reserve,Western Australia,WA,-31.925038,115.821468,3583
Garvey Park parkrun,Garvey Park,garveypark,Garvey Park,Western Australia,WA,-31.922558,115.941181,2799
Geographe Bay parkrun,Geographe Bay,geographebay,Geographe Bay Rd,Western Australia,WA,-33.642342,115.354374,933
Hampton Oval parkrun,Hampton Oval,hamptonoval,Hampton Oval,Western Australia,WA,-20.666182,116.70334,2841
Homestead parkrun,Homestead,homestead,Homestead,Western Australia,WA,-32.053807,115.970386,2891
Jakes Point parkrun,Jakes Point,jakespoint,Jakes Point Lookout,Western Australia,WA,-27.733275,114.15228,3335
Jarrahdale Heritage parkrun,Jarrahdale Heritage,jarrahdaleheritage,Jarrahdale Heritage Park,Western Australia,WA,-32.33521,116.058618,3016
Jurien Bay Foreshore parkrun,Jurien Bay Foreshore,jurienbayforeshore,Jurien Bay Foreshore,Western Australia,WA,-30.302452,115.037533,3157
Kadina Trail parkrun,Kadina Trail,kadinatrail,Kadina Trail,Western Australia,WA,-31.92623,116.026041,2520
Kalgoorlie-Boulder parkrun,Kalgoorlie-Boulder,kalgoorlieboulder,Karlkurla Bushland Park,Western Australia,WA,-30.718868,121.456625,541
Kununurra parkrun,Kununurra,kununurra,Swim Beach Park,Western Australia,WA,-15.791571,128.700113,1108
Lake Claremont parkrun,Lake Claremont,lakeclaremont,Lake Claremont,Western Australia,WA,-31.97481,115.779507,3027
Lake Joondalup parkrun,Lake Joondalup,lakejoondalup,Neil Hawkins Park,Western Australia,WA,-31.744138,115.777144,509
Long Point parkrun,Long Point,longpoint,Long Point,Western Australia,WA,-32.367044,115.729677,3902
Manjimup parkrun,Manjimup,manjimup,Manjimup Homemaker Centre,Western Australia,WA,-34.227785,116.179615,750
Margaret River parkrun,Margaret River,margaretriver,Rotary Park,Western Australia,WA,-33.944257,115.074331,1789
Marina parkrun,Marina,marina,Marina Park,Western Australia,WA,-28.763698,114.613067,2425
Maylands Peninsula parkrun,Maylands Peninsula,maylandspeninsula,Clarkson Reserve,Western Australia,WA,-31.947167,115.915089,1420
Merredin Peak parkrun,Merredin Peak,merredinpeak,Merredin Peak,Western Australia,WA,-31.470564,118.289452,3627
Moora parkrun,Moora,moora,Apex Park,Western Australia,WA,-30.638892,116.004276,1014
Mount Helena parkrun,Mount Helena,mounthelena,Railway Reserves Heritage Trail,Western Australia,WA,-31.879999,116.208462,1993
Mt Clarence parkrun,Mt Clarence,mtclarence,Flinders Parade,Western Australia,WA,-35.025659,117.916528,934
Mundy Regional parkrun,Mundy Regional,mundyregional,Mundy Regional Park,Western Australia,WA,-31.96618,116.035959,2554
Newcastle Park parkrun,Newcastle Park,newcastlepark,Newcastle Park,Western Australia,WA,-31.55064,116.470403,3202
Perry Lakes parkrun,Perry Lakes,perrylakes,Perry Lakes Reserve,Western Australia,WA,-31.945635,115.784168,2125
Pioneer parkrun,Pioneer,pioneer,Pioneer Park,Western Australia,WA,-32.066125,116.001509,757
Port Hedland parkrun,Port Hedland,porthedland,Civic Centre Gardens,Western Australia,WA,-20.307149,118.613332,1756
Quinns Rocks parkrun,Quinns Rocks,quinnsrocks,Quinns Rocks,Western Australia,WA,-31.679025,115.69588,739
Ridley Place Foreshore parkrun,Ridley Place Foreshore,ridleyplaceforeshore,Ridley Place Foreshore,Western Australia,WA,-33.275814,115.714384,3450
Rockingham parkrun,Rockingham,rockingham,Rockingham,Western Australia,WA,-32.275296,115.728757,463
Shelley parkrun,Shelley,shelley,Shelley Foreshore,Western Australia,WA,-32.028968,115.881886,1530
Shipwreck parkrun,Shipwreck,shipwreck,Shipwreck Park,Western Australia,WA,-32.162855,115.977875,2062
Sir James Mitchell parkrun,Sir James Mitchell,sirjamesmitchell,Sir James Mitchell,Western Australia,WA,-31.971747,115.878401,3605
South Beach Recreation Reserve parkrun,South Beach Recreation Reserve,southbeachrecreationreserve,South Beach Recreation Reserve,Western Australia,WA,-32.07687,115.752554,2946
Sunrise Beach parkrun,Sunrise Beach,sunrisebeach,Sunrise Beach,Western Australia,WA,-21.634871,115.113018,3893
Tamworth Wetlands parkrun,Tamworth Wetlands,tamworthwetlands,Tamworth Wetlands,Western Australia,WA,-32.33239,115.812074,2071
Town Beach parkrun,Town Beach,townbeach,Town Beach,Western Australia,WA,-17.968407,122.237403,3300
University of Western Australia parkrun,University of Western Australia,universityofwesternaustralia,University of Western Australia (Crawley Campus),Western Australia,WA,-31.977596,115.819132,3096
Wanneroo parkrun,Wanneroo,wanneroo,Opportunity Park,Western Australia,WA,-31.751242,115.793187,1919
Whitfords Nodes parkrun,Whitfords Nodes,whitfordsnodes,Whitfords Nodes Park,Western Australia,WA,-31.817129,115.73696,1759
